gene1,gene2,lag,p-value
GRIN2A,SLC25A38,1,9.820897047370797e-06
HCN1,IFIH1,1,6.502235104522932e-05
HERC1,TSEN54,1,0.00012693175395639045
HESX1,PITX2,1,0.0002016707458014453
HMGCL,GPC3,1,0.00030711990493188855
HMGCL,KIF2A,1,0.00031020966927521195
HNF4A,SPAG1,1,0.0002278872980210941
HNMT,PEX13,1,5.025023684631694e-05
HRAS,KIF2A,1,0.0002973075696458395
KIF2A,ALX3,1,0.0002844071447927601
KIF5A,IRX5,1,0.00021115572753946808
KLF8,NDP,1,2.1245038215096734e-05
L1CAM,KIF5A,1,0.0001886003989473683
LARP7,GRIN2A,1,5.214887630809967e-05
LHX3,ARV1,1,0.00010398502238467135
LHX3,NDUFV1,1,0.0001858310760856422
LHX3,OTUD6B,1,0.00021318658418242688
MMP13,SPAG1,1,0.00022788729802072945
MOCS1,PITX2,1,0.00015911018191206472
NAGLU,MAN2B1,1,5.7552814186625896e-05
NAGLU,TH,1,0.000281461977278815
NBN,C5orf42,1,0.00014869604599162042
NBN,PITX2,1,0.00032049754199918175
OTC,SPAG1,1,0.00022788729802077708
OTUD6B,SCN1A,1,9.806643527823334e-05
PCGF2,PEX14,1,0.0002639546016323735
PEX1,GRM6,1,0.0002275701572896196
PEX1,MCOLN1,1,0.00016364434289728195
PEX14,AP1S2,1,3.401783882520108e-05
PITX3,DPP6,1,0.00024572895232015065
PNPO,FMN2,1,8.58793237069224e-05
POLR1C,TSC2,1,2.1482885968396827e-05
RNF125,ADGRG6,1,0.0002514697300392262
RNF135,GRIN2A,1,0.0002717265291661138
RPE65,SPAG1,1,0.00022788729802077708
RPS6KA3,TAF2,1,0.00016915823161345743
SALL1,PGM1,1,0.00022904489050669624
SATB2,CHL1,1,5.382236963662566e-06
SETD5,TBX22,1,6.238275287265124e-05
SLC39A8,PITX3,1,0.00029612464760133723
SNX14,PKD1L1,1,0.00026870438837462226
SOBP,ABCC9,1,0.00030152498175064406
SOBP,RRM2B,1,9.552271778072421e-06
SPEG,APTX,1,1.77830836717141e-05
SPR,WNT3,1,0.0003149430291930282
STX1B,ANK3,1,1.9423258781478366e-05
SYNJ1,STX1B,1,6.107507478524352e-05
TAT,GRIA3,1,2.859596810032618e-05
TBX22,FAM20A,1,0.000301405011245888
TMEM165,GRIK2,1,8.189327462869019e-05
TMEM165,TAB2,1,0.00023639583906552198
TRIT1,OTUD6B,1,1.0289302404251928e-05
TSC2,CLN8,1,4.5572325193977944e-05
TUBGCP4,SOBP,1,2.2035034525819546e-05
UBE3A,NDP,1,0.0002513044119893975
UGT1A1,DLG2,1,5.750474283907383e-05
WASF1,HNMT,1,0.00015714184017352932
WNT3,GDF6,1,9.40582053137378e-05
WNT3,IRX5,1,4.51769206642238e-05
WNT7A,FOXE1,1,9.665190886925792e-05
ABCC9,DYM,1,0.00014449972180671932
ADGRG1,TMEM67,1,0.00022612861709885756
ALG8,GTPBP2,1,0.0002439111021581041
ALG8,TSPAN7,1,0.00014149493634432392
ALPL,ARL14EP,1,6.249645746237754e-05
ALPL,KIF5A,1,0.00010670074138257124
ALX3,B3GLCT,1,0.00022768379411396405
APTX,CNOT3,1,0.00011110931858583719
ARSA,NDP,1,1.6976428686427866e-05
ASAH1,ATP1A1,1,0.00013474966365094172
ATM,FOXE1,1,0.0001262626071865198
B3GLCT,ARID1B,1,9.059455691194865e-05
BSND,CCDC103,1,0.00019658376764541223
BSND,RPE65,1,0.0001965837676454123
CACNA1C,EVC2,1,0.00018637620659110957
CACNA1C,FBP1,1,6.791942793862834e-05
CASP2,NAGLU,1,0.00017841758676932423
CCDC103,SPAG1,1,0.00022788729802077705
CHL1,KCNK9,1,0.0001035236631979487
CHL1,PAX6,1,0.00019740147115705487
CYP27A1,FMN2,1,0.00012333665052447637
CYP7B1,HRAS,1,0.0001090164344068943
DBT,PITX2,1,9.883033099210246e-05
DCX,KCNK9,1,1.4011362862660131e-05
DNMT3B,PEX14,1,5.3557599165949795e-05
DPYD,KIF5A,1,0.0002278421129085769
